food,calories_kcal,carbs_g,protein_g,fat_g,serving_size_g,sugar_g,fibre_g,sodium_mg
Black channa curry/Bengal gram curry (Kale chane ki curry),168.69940185546875,16.926048278808594,6.794949054718018,7.926845073699951,119.91999735569811,2.8245770931243896,9.580886840820312,430.07000732421875
Chickpeas curry (Safed channa curry),195.98770141601562,23.95804786682129,7.313949108123779,8.20584487915039,119.92000611637698,5.737576961517334,5.674887180328369,429.302001953125
Lobia curry,178.66571044921875,21.444047927856445,7.27194881439209,6.738844871520996,119.91999729925433,3.0075769424438477,5.476886749267578,426.20599365234375
Soyabean curry,195.802001953125,8.106049537658691,12.503949165344238,12.219844818115234,119.92000002872597,3.18757700920105,8.803887367248535,422.95098876953125
Kidney bean curry (Rajmah curry),172.35610961914062,19.641048431396484,7.136949062347412,6.924844741821289,119.91999973876133,2.983577013015747,6.985887050628662,425.23699951171875
Sambar,249.32276916503906,27.18551254272461,8.618037223815918,11.274487495422363,257.25001569267465,8.508950233459473,9.05931282043457,410.4120788574219
Besan kadhi with pakodies,2366.792724609375,20.911727905273438,9.648531913757324,249.90286254882812,586.7849911651963,5.151834964752197,4.7627949714660645,356.7940979003906
Khatta channa,318.1502380371094,33.2034912109375,9.887788772583008,16.585180282592773,157.06000937619308,7.459384441375732,8.26185417175293,806.2224731445312
Sprouted moong dal chat,83.29520416259766,15.402999877929688,3.4619998931884766,0.824999988079071,256.49998949331837,4.019000053405762,3.450000047683716,223.33999633789062
Potato cauliflower (Aloo gobhi),186.60691833496094,10.528312683105469,3.3349881172180176,14.280903816223145,175.74999890572727,0.7665870189666748,5.304596900939941,447.7376708984375
Potato capsicum (Shimla mirch aloo),189.23593139648438,13.140812873840332,2.124988079071045,14.068404197692871,150.7500084316824,0.8065869808197021,3.0520970821380615,418.9651794433594
Cabbage and peas (Pattagobhi aur matar),106.20539093017578,10.366362571716309,5.385387897491455,4.397229194641113,166.24998535764217,1.6066620349884033,6.626047134399414,421.8337097167969
Carrot and fenugreek leaves (Gajar methi),118.10655975341797,7.95616340637207,3.9964380264282227,7.2615790367126465,190.74998631535337,4.020112037658691,8.447946548461914,501.50665283203125
Potato fenugreek (Aloo methi),276.03857421875,17.29616355895996,4.586438179016113,20.508079528808594,204.2499911321635,1.1101120710372925,5.977946758270264,453.2866516113281
Brinjal bhartha (Baingan ka bhartha),212.16659545898438,14.328238487243652,4.495488166809082,14.598976135253906,325.829987948923,5.917211055755615,10.66904067993164,430.5897521972656
Dry potato (Sookhe aloo),109.07640075683594,15.204999923706055,1.7131749391555786,4.422524929046631,105.74999822209578,0.3473999798297882,1.9848999977111816,211.4935302734375
Beans with coconut (Nariyal aur sem/phali; Beans thoran),196.84153747558594,6.570097923278809,3.916139841079712,17.03790283203125,149.5400010952222,3.0846381187438965,8.351897239685059,406.23052978515625
Cauliflower with coconut (Nariyal ke saath phoolgobhi),197.5585479736328,5.97009801864624,3.9461400508880615,17.28790283203125,149.53999772865822,2.554637908935547,7.88189697265625,427.7705383300781
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),212.73504638671875,9.96509838104248,3.6311399936676025,17.202903747558594,199.54000533203478,4.6996378898620605,9.021897315979004,438.1955261230469
Raw turnip with coconut ,197.6145477294922,8.640097618103027,2.6961400508880615,17.147903442382812,149.5400065491645,6.5846381187438965,4.171896934509277,412.050537109375
Raw papaya with coconut (Papaya thoran),198.51454162597656,8.34009838104248,2.29613995552063,17.077903747558594,149.5399987902126,5.7146382331848145,6.451897144317627,404.60052490234375
Stuffed okra (Bharwa bhindi),104.24584197998047,4.2589497566223145,2.297950029373169,8.458925247192383,110.50000696401608,0.5309749841690063,4.581500053405762,232.08807373046875
Stuffed round gourd (Bharwa tinde),180.71798706054688,9.981050491333008,2.7393500804901123,14.267424583435059,248.25000468855097,4.864874839782715,5.222700119018555,447.2145690917969
Stuffed capsicum (Bharwa shimla mirch),114.1301040649414,10.361249923706055,1.6782499551773071,7.158999919891357,125.50000849975997,1.5227500200271606,2.5234999656677246,218.29324340820312
Stuffed brinjal (Bharwa baingan),51.49741744995117,2.1919748783111572,0.8489750027656555,4.2794623374938965,55.3749993450438,0.5104874968528748,2.265749931335449,117.88404083251953
Stuffed tomatoes (Bharwa tamatar),126.48592376708984,8.387550354003906,4.4469499588012695,8.211000442504883,135.50000291253593,3.6254498958587646,2.978100061416626,224.73049926757812
Pea potato curry (Aloo matar),279.8896179199219,27.009288787841797,9.659012794494629,14.218300819396973,277.3299992426935,5.170785903930664,10.005866050720215,429.39776611328125
Pea paneer curry (Matar paneer),373.9361267089844,25.769289016723633,18.319013595581055,21.493301391601562,277.32999533790405,10.795785903930664,9.150866508483887,436.3627624511719
